AREAGEOGRAFICA|CODICEISTITUTORIFERIMENTO|CODICESCUOLA|DENOMINAZIONEISTITUTORIFERIMENTO|DENOMINAZIONESCUOLA|DESCRIZIONECOMUNE|DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA|INDIRIZZOSCUOLA|PROVINCIA|REGIONE|ALUNNI|Tipo
NORD OVEST|CNMM162004|CNCT70000Q|CPIA 2 ALBA - MONDOVI'|CENTRO TERRITORIALE ALBA|ALBA|CENTRO TERRITORIALE|VIA DE AMICIS 1|CUNEO|PIEMONTE||
NORD OVEST|CNIC818004|CNMM818015|SOMMARIVA PERNO|SOMMARIVA PERNO|SOMMARIVA PERNO|SCUOLA PRIMO GRADO|VIA SAN GIOVANNI N. 12|CUNEO|PIEMONTE|111.0|S
NORD OVEST|CNIC818004|CNMM818026|SOMMARIVA PERNO|SOMMARIVA P. SS CORNELIANO|CORNELIANO D'ALBA|SCUOLA PRIMO GRADO|VIA DELLE SCUOLE N. 1|CUNEO|PIEMONTE|108.0|S
NORD OVEST|CNIC81900X|CNMM819011|LA MORRA|LA MORRA|LA MORRA|SCUOLA PRIMO GRADO|VIA CARLO ALBERTO N. 6|CUNEO|PIEMONTE|91.0|S
NORD OVEST|CNIC81900X|CNMM819022|LA MORRA|LA MORRA SS MONFORTE D'ALBA|MONFORTE D'ALBA|SCUOLA PRIMO GRADO|VIA RODDINO N.1|CUNEO|PIEMONTE|73.0|S
NORD OVEST|CNIC81900X|CNMM819033|LA MORRA|LA MORRA SS BAROLO|BAROLO|SCUOLA PRIMO GRADO|PIAZZA CADUTI PER LA LIBERTA'|CUNEO|PIEMONTE|82.0|S
NORD OVEST|CNIC820004|CNMM820015|SANTA VITTORIA D'ALBA|SANTA VITTORIA D'ALBA|SANTA VITTORIA D'ALBA|SCUOLA PRIMO GRADO|VIA SERAFINA 14 BIS|CUNEO|PIEMONTE|91.0|S
NORD OVEST|CNIC820004|CNMM820026|SANTA VITTORIA D'ALBA|S.VITTORIA ALBA SS POCAPAGLIA|POCAPAGLIA|SCUOLA PRIMO GRADO|PIAZZA PRINCIPESSA MARIA PIA|CUNEO|PIEMONTE|112.0|S
NORD OVEST|CNIC82100X|CNMM821011|MONTA'|MONTA'|MONTA'|SCUOLA PRIMO GRADO|CORSO A. DE GASPERI N. 15|CUNEO|PIEMONTE|235.0|S
NORD OVEST|CNIC85900A|CNMM85901B|MONDOVI' 2|MONDOVI' CORDERO|MONDOVI'|SCUOLA PRIMO GRADO|VIA RISORGIMENTO, N. 16|CUNEO|PIEMONTE|291.0|S
