AREAGEOGRAFICA|CODICEISTITUTORIFERIMENTO|CODICESCUOLA|DENOMINAZIONESCUOLA|DESCRIZIONECOMUNE|DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA|INDIRIZZOSCUOLA|PROVINCIA|REGIONE|CODICEEDIFICIO|SIGLAPROVINCIA|STATOEDIFICIO|VINCOLIIDROGEOLOGICI|VINCOLIPAESAGGIO|EDIFICIOVETUSTO|VINCOLIZONASISMICA|PROGETTAZIONEANTISISMICA|USOSCOLASTICO|ALTRIUSI|ANNOCOSTRUZIONE|FASCIAETACOSTRUZIONE|ANNOADATTAMENTO|FASCIAETAADATTAMENTO|NUMEROPIANI|SPERFICIEAREATOTALE|SPERFICIEAREALIBERA|VOLUME|SPAZIDIDATTICI|AULAMAGNA|MENSA|PALESTRAPISCINA|SPAZIAMMINISTRATIVI|SCUOLABUS|TRASPORTIPUBBLICIURBANI|TRASPORTIPUBBLICIINTERURBANI|TRASPORTIFERROVIARI|MEZZIPRIVATI|TRASPORTODISABILI|Linea_finanziamento|COMUNE|FONTE|Data_aggiornamento_lavori|Data_inizio|Data_fine|ENTE_RICHIEDENTE|TIPOLOGIA_ENTE_RICHIEDENTE|COD_PRINC|OGGETTO_INTERVENTO|INFO_AGGIUNTIVE|LATITUDINE|LONGITUDINE|TIPO_INTERVENTO|STATO LAVORI|CUP|Importo totale opera|Finanziamento/ Provvedimento
NORD OVEST|CNIS01600L|CNTD016507|"BRA ""GUALA""SERALE"|BRA|ISTITUTO TECNICO COMMERCIALE|PIAZZA|CUNEO|PIEMONTE|||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIS01700C|CNTD01701P|"FOSSANO ""E.TESAURO"""|FOSSANO|ISTITUTO TECNICO COMMERCIALE|VIA SAN GIOVANNI BOSCO, 29|CUNEO|PIEMONTE|0040890017|CN|Attivo|NO|NO|SI|Rischio bassa sismicità (S=6)|NO|NO|SI|-|tra il 1800 e il 1899|-|Dal 1976 in poi|5.0|3.200,00|670,00|25.300,00|Esiste|Non Esiste|Non Esiste|Non Esiste|Esiste|NO|SI|SI|NO|SI|NO||||||||||||||||||
NORD OVEST|CNIS01700C|CNTD017503|FOSSANO COMM.LE SERALE|FOSSANO|ISTITUTO TECNICO COMMERCIALE|VIA SAN MICHELE 68|CUNEO|PIEMONTE|||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIS019004|CNTD01901A|"ALBA  ""L. EINAUDI"""|ALBA|IST TEC COMMERCIALE E PER GEOMETRI|VIA        P. FERRERO 20|CUNEO|PIEMONTE|0040030021|CN|Attivo|NO|NO|NO|Non classificato a rischio|NO|SI|NO|1970|Informazione assente|-|Informazione assente|4.0|10.250,00|6.520,00|120.200,00|Esiste|Non Esiste|Non Esiste|Esiste|Esiste|NO|SI|SI|NO|SI|NO||||||||||||||||||
NORD OVEST|CNIC82200Q|CNMM82201R|"CANALE ""MONSIGNOR L.SIBONA"""|CANALE|SCUOLA PRIMO GRADO|V.LE DEL PESCO N.5/B|CUNEO|PIEMONTE|0040370001|CN|Attivo|NO|NO|NO|Non classificato a rischio|NO|SI|NO|-|tra il 1961 e il 1975|-|Informazione assente|4.0|15.650,00|11.410,00|16.560,00|Esiste|Esiste|Esiste|Esiste|Esiste|SI|NO|SI|NO|SI|SI|#SBLOCCASCUOLE 2017 -  DM 26 aprile 2017|Canale|Amministrazione Comunale|2017-12-15|2018-03-26|2018-10-24|COMUNE di Canale|COMUNE|CNIC82200Q|||44.794926000000004|7.994383999999999|Efficentamento energetico|In approvazione|E66J17000010005|555000,0000|555000,0000
NORD OVEST|CNIC82200Q|CNMM82201R|"CANALE ""MONSIGNOR L.SIBONA"""|CANALE|SCUOLA PRIMO GRADO|V.LE DEL PESCO N.5/B|CUNEO|PIEMONTE|0040370001|CN|Attivo|NO|NO|NO|Non classificato a rischio|NO|SI|NO|-|tra il 1961 e il 1975|-|Informazione assente|4.0|15.650,00|11.410,00|16.560,00|Esiste|Esiste|Esiste|Esiste|Esiste|SI|NO|SI|NO|SI|SI|Decreto Mutui BEI prima annualità - Decreto Interministeriale 23 gennaio 2015|Canale|MIUR|2017-07-31|2016-09-07|2017-10-01|CANALE|COMUNE|CNIC82200Q|||44.794986|7.994403999999999|Adeguamento normativo|Cantiere aperto|E66J15000010002|800000,0000|800000,0000
NORD OVEST|CNIC82200Q|CNMM82202T|CANALE SS VEZZA D'ALBA|VEZZA D'ALBA|SCUOLA PRIMO GRADO|PIAZZA S. CARLO N. 1BIS|CUNEO|PIEMONTE|0042410004|CN|Attivo|SI|NO|NO|Non classificato a rischio|NO|SI|NO|2003|Informazione assente|-|Informazione assente|2.0|2.398,00|1.000,00|8.918,00|Esiste|Non Esiste|Esiste|Non Esiste|Non Esiste|SI|NO|NO|NO|SI|SI||||||||||||||||||
NORD OVEST|CNIC82300G|CNMM82301L|"GOVONE ""T.L. DALMASSO"""|GOVONE|SCUOLA PRIMO GRADO|LOCALITA' MARTORIANA 2/A|CUNEO|PIEMONTE|0040990002|CN|Attivo|SI|NO|NO|Non classificato a rischio|NO|SI|NO|1997|Informazione assente|-|Informazione assente|3.0|16.609,00|14.880,00|8.076,00|Esiste|Non Esiste|Esiste|Non Esiste|Esiste|SI|NO|SI|NO|SI|SI||||||||||||||||||
NORD OVEST|CNIC839005|CNMM839016|"BERNEZZO ""D. GALIMBERTI"""|BERNEZZO|SCUOLA PRIMO GRADO|PIAZZA SOLIDARIETA E VOLONTARIATO 3|CUNEO|PIEMONTE|0040220002|CN|Attivo|NO|NO|NO|Rischio bassa sismicità (S=6)|NO|SI|NO|1964|Informazione assente|-|Informazione assente|4.0|-|-|2.224,00|Esiste|Non Esiste|Non Esiste|Non Esiste|Non Esiste|SI|SI|SI|NO|SI|SI||||||||||||||||||
NORD OVEST|CNIC839005|CNMM839016|"BERNEZZO ""D. GALIMBERTI"""|BERNEZZO|SCUOLA PRIMO GRADO|PIAZZA SOLIDARIETA E VOLONTARIATO 3|CUNEO|PIEMONTE|0040220003|CN|Attivo|NO|NO|NO|Rischio bassa sismicità (S=6)|NO|SI|NO|1989|Informazione assente|-|Informazione assente|2.0|920,00|295,00|3.900,00|Esiste|Esiste|Non Esiste|Non Esiste|Esiste|SI|SI|SI|NO|SI|SI||||||||||||||||||
