AREAGEOGRAFICA|CODICEISTITUTORIFERIMENTO|CODICESCUOLA|DENOMINAZIONEISTITUTORIFERIMENTO|DENOMINAZIONESCUOLA|DESCRIZIONECOMUNE|DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA|INDIRIZZOSCUOLA|PROVINCIA|REGIONE|CODICEEDIFICIO|SIGLAPROVINCIA|STATOEDIFICIO|ANNOSCOLASTICO|VINCOLIIDROGEOLOGICI|VINCOLIPAESAGGIO|EDIFICIOVETUSTO|VINCOLIZONASISMICA|PROGETTAZIONEANTISISMICA|USOSCOLASTICO|ALTRIUSI|ANNOCOSTRUZIONE|FASCIAETACOSTRUZIONE|ANNOADATTAMENTO|FASCIAETAADATTAMENTO|NUMEROPIANI|SPERFICIEAREATOTALE|SPERFICIEAREALIBERA|VOLUME
NORD OVEST|CNIC81900X|CNEE819023|LA MORRA|NOVELLO - CAPOLUOGO|NOVELLO|SCUOLA PRIMARIA|VIA GIORDANO N. 61|CUNEO|PIEMONTE|0041520002|CN|Attivo|201516.0|SI|NO|SI|Non classificato a rischio|NO|SI|NO|-|tra il 1921 e il 1945|-|Informazione assente|3.0|1.800,00|552,00|7.700,00
NORD OVEST|CNIC840009|CNEE84003D|CERVASCA|CERVASCA - FRAZ. S. DEFENDENTE|CERVASCA|SCUOLA PRIMARIA|VIA DON BODINO, 7|CUNEO|PIEMONTE|0040640002|CN|Attivo|201516.0|NO|NO|NO|Rischio bassa sismicità (S=6)|NO|SI|NO|1983|Informazione assente|-|Informazione assente|3.0|3.492,00|3.031,00|4.305,00
NORD OVEST|CNIC840009|CNEE84004E|CERVASCA|VIGNOLO - CAPOLUOGO|VIGNOLO|SCUOLA PRIMARIA|PIAZZA GRANDE,1|CUNEO|PIEMONTE|0042430001|CN|Attivo|201516.0|NO|NO|NO|Rischio bassa sismicità (S=6)|NO|SI|NO|-|tra il 1961 e il 1975|-|Informazione assente|2.0|2.178,00|1.008,00|7.043,00
NORD OVEST|CNIC81000D|CNEE81005Q|ROBILANTE|ENTRACQUE-CAPOLUOGO|ENTRACQUE|SCUOLA PRIMARIA|VIA ANGELO BARALE,2|CUNEO|PIEMONTE|0040840001|CN|Attivo|201516.0|NO|SI|NO|Rischio bassa sismicità (S=6)|NO|SI|NO|1978|Informazione assente|-|Informazione assente|3.0|862,00|178,00|3.238,00
NORD OVEST|CNIC81000D|CNEE81006R|ROBILANTE|VALDIERI-CAPOLUOGO|VALDIERI|SCUOLA PRIMARIA|PIAZZA DELLA RESISTENZA,1|CUNEO|PIEMONTE|0042330005|CN|Attivo|201516.0|NO|SI|NO|Rischio bassa sismicità (S=6)|NO|SI|NO|1967|Informazione assente|-|Informazione assente|3.0|818,00|100,00|3.193,00
NORD OVEST|CNIS00400A|CNIS00400A|"ALBA ""P. CILLARIO FERRERO"""|"ALBA ""P. CILLARIO FERRERO"""|ALBA|ISTITUTO SUPERIORE|VIA        BALBO 8|CUNEO|PIEMONTE|||||||||||||||||||
NORD OVEST|CNIC833006|CNAA833013|BARGE|BARGE-CAPOLUOGO|BARGE|SCUOLA INFANZIA|VIA CAMPO SPORTIVO,20|CUNEO|PIEMONTE|0040120004|CN|Attivo|201516.0|NO|NO|NO|Rischio bassa sismicità (S=6)|NO|SI|NO|1985|Informazione assente|-|Informazione assente|1.0|2.640,00|1.450,00|2.700,00
NORD OVEST|CNIC833006|CNAA833013|BARGE|BARGE-CAPOLUOGO|BARGE|SCUOLA INFANZIA|VIA CAMPO SPORTIVO,20|CUNEO|PIEMONTE|0040120006|CN|Attivo|201516.0|NO|NO|NO|Rischio bassa sismicità (S=6)|SI|SI|NO|2005|Informazione assente|-|Informazione assente|1.0|-|-|870,00
NORD OVEST|CNIC833006|CNAA833024|BARGE|BARGE-FRAZ.S.MARTINO|BARGE|SCUOLA INFANZIA|VIA CROCETTA, 2|CUNEO|PIEMONTE|0040120003|CN|Attivo|201516.0|NO|NO|NO|Rischio bassa sismicità (S=6)|NO|SI|NO|1974|Informazione assente|-|Informazione assente|3.0|1.014,00|798,00|2.672,00
NORD OVEST|CNIC833006|CNAA833035|BARGE|BARGE - FRAZ. CROCERA|BARGE|SCUOLA INFANZIA|VIA CUNEO 15|CUNEO|PIEMONTE|0040120010|CN|Attivo|201516.0|NO|NO|NO|Rischio bassa sismicità (S=6)|NO|SI|NO|1976|Informazione assente|-|Informazione assente|3.0|2.178,00|1.893,00|3.477,00
