ANNOSCOLASTICO, CODICESCUOLA, CODICEEDIFICIO, SCUOLABUS, TRASPORTIPUBBLICIURBANI, TRASPORTIPUBBLICIINTERURBANI, TRASPORTIFERROVIARI, MEZZIPRIVATI, TRASPORTODISABILI, ALTRO
201516,AGEE82004A,0840014221,NO,NO,NO,NO,SI,NO,Non Comunicato
201516,AGEE821013,0840014223,SI,SI,NO,NO,SI,NO,Non Comunicato
201516,AGEE821013,0840014224,SI,SI,NO,NO,SI,NO,Non Comunicato
201516,AGEE821024,0840010497,NO,NO,NO,NO,NO,NO,Non Comunicato
201516,AGEE82202X,0840014234,NO,SI,NO,NO,SI,NO,Non Comunicato
201516,AGEE82302Q,0840014193,SI,SI,NO,NO,SI,NO,Non Comunicato
201516,AGEE82302Q,0840014252,SI,SI,NO,NO,SI,NO,Non Comunicato
201516,AGEE82303R,0840014226,SI,SI,NO,NO,SI,NO,Non Comunicato
201516,AGEE82402G,0840014333,SI,SI,NO,NO,SI,NO,Non Comunicato
201516,AGEE82402G,0840014356,NO,SI,NO,NO,SI,NO,Non Comunicato
201516,AGEE82405P,0840014237,NO,SI,NO,NO,SI,NO,Non Comunicato
201516,AGEE82405P,0840014280,SI,SI,NO,NO,SI,NO,Non Comunicato
201516,AGEE82501A,0840014146,SI,SI,NO,NO,SI,NO,Non Comunicato
201516,AGEE82501A,0840014147,SI,SI,NO,NO,SI,NO,Non Comunicato
201516,AGEE82503C,0840014134,SI,SI,NO,NO,SI,NO,Non Comunicato
201516,AGEE82503C,0840014139,SI,SI,NO,NO,SI,NO,Non Comunicato
201516,AGEE82504D,0840014027,NO,SI,NO,NO,SI,NO,Non Comunicato
201516,AGEE826016,0840054833,SI,NO,NO,NO,SI,NO,Non Comunicato
201516,AGEE826049,0840071165,SI,SI,NO,NO,SI,SI,Non Comunicato
201516,AGEE82605A,0840071166,SI,NO,SI,NO,SI,SI,Non Comunicato
201516,AGEE82606B,0840071167,SI,SI,SI,NO,SI,SI,Non Comunicato
201516,AGEE827023,0840091057,SI,SI,SI,NO,SI,NO,Non Comunicato
201516,AGEE827034,0840091059,SI,SI,SI,NO,SI,NO,Non Comunicato
201516,AGEE827045,0840091058,SI,SI,SI,NO,SI,SI,Non Comunicato
201516,AGEE82801T,0840100610,NO,NO,NO,NO,SI,NO,Non Comunicato
201516,AGEE82902P,0840111098,SI,SI,NO,SI,SI,SI,Non Comunicato
201516,AGEE82903Q,0840111106,SI,SI,NO,SI,SI,SI,Non Comunicato
201516,AGEE83001T,0840111096,SI,SI,SI,NO,SI,SI,Non Comunicato
201516,AGEE83201D,0840181531,SI,NO,NO,NO,SI,NO,Non Comunicato
201516,AGEE83201D,0840181535,SI,NO,NO,NO,SI,NO,Non Comunicato
201516,AGEE83304C,0840211120,SI,SI,NO,NO,SI,SI,Non Comunicato
