ANNOSCOLASTICO, CODICESCUOLA, CODICEEDIFICIO, SPAZIDIDATTICI, AULAMAGNA, MENSA, PALESTRAPISCINA, SPAZIAMMINISTRATIVI
201516,CSAA892049,0780250099,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSAA89205A,0780250100,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSAA89206B,0781470097,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSAA89601D,0780450902,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSAA89602E,0780450954,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSAA89603G,0780450944,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSAA89604L,0780450744,Non Esiste,Non Esiste,Non Esiste,Non Esiste,Esiste
201516,CSAA89604L,0780450908,Esiste,Non Esiste,Non Esiste,Non Esiste,Esiste
201516,CSAA89605N,0780450743,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSAA897019,0780450653,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSAA89704C,0780450014,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSAA898015,0780450655,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSAA899022,0780030036,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSAA899022,0780031060,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSAA899044,0780030440,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSAA899044,0780031066,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSAA8A002P,0781500404,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSAA8A003Q,0781501437,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSAA8A004R,0780060405,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSAA8AE01R,0781230963,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSAA8AF01L,0780290106,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSAA8AG01C,0780440155,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSAA8AG02D,0780440156,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSAA8AG03E,0780440157,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSAA8AG05L,0780440172,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSAA8AH018,0780440174,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSAA8AJ01D,0780170084,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSAA8AJ02E,0780170085,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSAA8AJ03G,0780170086,Esiste,Non Esiste,Non Esiste,Non Esiste,Esiste
201516,CSAA8AJ04L,0780170087,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSAA8AJ05N,0780170088,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSAA8AJ06P,0780170090,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSAA8AJ07Q,0780170477,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSAA8AK019,0781020756,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSAA8AK02A,0781020755,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSAA8AK03B,0781550768,Esiste,Non Esiste,Esiste,Non Esiste,Esiste
201516,CSAA8AK04C,0781550767,Esiste,Non Esiste,Esiste,Non Esiste,Esiste
201516,CSAA8AL015,0780450700,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSAA8AL015,0780450739,Non Esiste,Non Esiste,Non Esiste,Esiste,Non Esiste
201516,CSAA8AL026,0780450931,Non Esiste,Non Esiste,Non Esiste,Esiste,Non Esiste
201516,CSAA8AL026,0780451021,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSAA8AL048,0780450429,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSAA8AM011,0781080321,Esiste,Non Esiste,Esiste,Non Esiste,Non Esiste
201516,CSAA8AM044,0781080326,Esiste,Non Esiste,Esiste,Non Esiste,Non Esiste
201516,CSAA8AM066,0781081014,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSAA8AM066,0781081448,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSAA8AM077,0781080323,Esiste,Non Esiste,Esiste,Non Esiste,Non Esiste
201516,CSAA8AM099,0781080340,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSAA8AN02T,0781080338,Esiste,Esiste,Esiste,Non Esiste,Non Esiste
201516,CSAA8AP01C,0781080905,Esiste,Esiste,Non Esiste,Esiste,Non Esiste
201516,CSAA8AP01C,0781081445,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
